[Wed Aug 29 14:56:07.692694 2018] [:error] [pid 17121] [client 127.0.0.1:58544] PHP Warning:  file_put_contents(./triggerin.running): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 286, referer: http://zendboilerplate.local/automation/
[Wed Aug 29 14:56:07.711859 2018] [:error] [pid 17121] [client 127.0.0.1:58544] PHP Warning:  mysqli_connect(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES) in /var/www/git/zend_boilerplate/automation/database.conf.php on line 28, referer: http://zendboilerplate.local/automation/
[Wed Aug 29 14:57:16.843558 2018] [:error] [pid 17872] [client 127.0.0.1:58550] PHP Warning:  file_put_contents(./triggerin.running): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 286, referer: http://zendboilerplate.local/automation/
[Wed Aug 29 14:57:17.022558 2018] [:error] [pid 17872] [client 127.0.0.1:58550] PHP Warning:  unlink(./triggerin.running): No such file or directory in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 477, referer: http://zendboilerplate.local/automation/
[Wed Aug 29 14:57:28.389617 2018] [:error] [pid 17631] [client 127.0.0.1:58552] PHP Warning:  file_put_contents(./triggerin.running): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 286, referer: http://zendboilerplate.local/automation/triggers/triggerin.php
[Wed Aug 29 14:57:32.894244 2018] [:error] [pid 17631] [client 127.0.0.1:58552] PHP Warning:  file_put_contents(./triggerin.running): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 286, referer: http://zendboilerplate.local/automation/triggers/triggerin.php
[Wed Aug 29 14:57:34.406792 2018] [:error] [pid 17158] [client 127.0.0.1:58554] PHP Warning:  file_put_contents(./triggerin.running): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 286, referer: http://zendboilerplate.local/automation/triggers/triggerin.php
[Wed Aug 29 14:57:55.419104 2018] [:error] [pid 6987] [client 127.0.0.1:58556] PHP Warning:  file_put_contents(./triggerin.running): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 286, referer: http://zendboilerplate.local/automation/triggers/triggerin.php
[Wed Aug 29 14:58:00.567949 2018] [:error] [pid 6987] [client 127.0.0.1:58556] PHP Warning:  file_put_contents(./triggerin.last): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 472, referer: http://zendboilerplate.local/automation/triggers/triggerin.php
[Wed Aug 29 14:58:00.568035 2018] [:error] [pid 6987] [client 127.0.0.1:58556] PHP Warning:  unlink(./triggerin.running): No such file or directory in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 477, referer: http://zendboilerplate.local/automation/triggers/triggerin.php
[Wed Aug 29 14:58:45.539878 2018] [:error] [pid 16174] [client 127.0.0.1:58576] PHP Warning:  file_put_contents(./triggerin.running): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 286, referer: http://zendboilerplate.local/automation/
[Wed Aug 29 14:58:51.884182 2018] [:error] [pid 16174] [client 127.0.0.1:58576] PHP Warning:  file_put_contents(./triggerin.last): failed to open stream: Permission denied in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 472, referer: http://zendboilerplate.local/automation/
[Wed Aug 29 14:58:51.884269 2018] [:error] [pid 16174] [client 127.0.0.1:58576] PHP Warning:  unlink(./triggerin.running): No such file or directory in /var/www/git/zend_boilerplate/automation/triggers/triggerin.php on line 477, referer: http://zendboilerplate.local/automation/
